Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Corsair M65 PRO RGB,2016,7.5,7.7,8.3,,Corsair,Matte,117.8,76.8,38.9,60.0,No,No,Thumb,172.02,Centered,,No Batteries,Wired,1.85,PTFE,,,8,3,Yes,Notched Wheel,Yes,Yes
Cooler Master CM110,2019,5.9,7.6,6.0,,Cooler Master,Matte,116.5,62.8,38.1,60.0,Yes,No,No,122.45,Centered,,No Batteries,Wired,1.85,PTFE,,,6,2,No,Notched Wheel,No,No
Logitech G5,2005,6.8,7.4,6.9,,Logitech,Matte,130.5,70.0,44.0,61.0,No,No,Thumb,198.15,Centered,,No Batteries,Wired,2.0,Virgin Grade PTFE,,,8,1,No,Notched Wheel,Yes,No
Cooler Master MM831,2020,8.0,7.1,7.7,,Cooler Master,Matte,127.5,67.4,43.1,63.0,No,No,No,154.68,Centered,,Rechargeable,Wireless,1.8,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
Cooler Master MM830,2018,7.1,7.1,7.9,,Cooler Master,Matte,128.8,81.6,42.7,61.0,No,No,Thumb,160.11,Centered,,No Batteries,Wired,1.85,PTFE,,,8,4,Yes,Notched Wheel,Yes,No
Logitech M570,2010,7.9,5.6,4.9,,Logitech,Matte,137.0,97.1,56.0,62.0,No,No,Pinky,141.05,Centered,,1x AA,Wireless,,Plastic,,,5,0,No,Notched Wheel,Yes,No
SteelSeries Rival 100,2015,7.1,7.8,7.6,,SteelSeries,Glossy,120.0,67.1,39.0,64.0,Yes,No,No,121.81,Centered,,No Batteries,Wired,1.8,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
SteelSeries Sensei RAW,2013,7.1,8.1,8.1,,SteelSeries,Glossy,126.5,68.4,38.1,65.0,Yes,No,No,125.74,Centered,,No Batteries,Wired,1.9,PTFE,,,8,4,Yes,Notched Wheel,Yes,Yes
SteelSeries Sensei 310,2017,7.4,8.0,8.1,,SteelSeries,Matte,124.3,70.5,39.6,68.0,Yes,No,No,127.94,Centered,,No Batteries,Wired,2.0,PTFE,,,8,4,Yes,Notched Wheel,Yes,Yes
Logitech M535,2018,7.4,6.1,4.8,,Logitech,Matte,100.9,61.1,32.8,56.0,Yes,No,No,85.25,Centered,,1x AA,Wireless,,PTFE,,,6,0,No,Notched Wheel,Yes,Yes
BenQ ZOWIE S1,2019,6.0,7.5,6.0,,BenQ,Matte,125.8,66.4,39.8,63.0,Yes,No,No,137.01,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
BenQ ZOWIE ZA13-B,2020,6.0,7.7,6.0,,BenQ,Matte,124.1,62.7,40.3,61.0,Yes,No,No,124.19,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
BenQ ZOWIE FK2-B,2019,6.0,7.7,6.0,,BenQ,Matte,128.0,64.8,36.7,62.0,Yes,No,No,128.14,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
BenQ ZOWIE FK1+-B,2019,6.2,7.6,6.1,,BenQ,Glossy,131.7,69.4,38.9,66.0,Yes,No,No,138.41,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
BenQ ZOWIE ZA11-B,2015,6.0,7.6,6.0,,BenQ,Matte,131.5,66.7,41.9,63.0,Yes,No,No,132.92,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
